EmployeeID,BaseSalary,HourlyRate,SSSAmount,PhilHealthAmount,PagIBIGAmount,WithholdingTax,RiceSubsidy,PhoneAllowance,ClothingAllowance
10031,22500.0,133.93,1075.0,1071.4400000000003,200.0,619.16,1500.0,500.0,500.0
10030,22500.0,133.93,1075.0,1071.4400000000003,200.0,619.16,1500.0,500.0,500.0
10019,22500.0,133.93,1075.0,1071.4400000000003,200.0,619.16,1500.0,500.0,500.0
10018,22500.0,133.93,1075.0,1071.4400000000003,200.0,619.16,1500.0,500.0,500.0
10011,50825.0,302.53,1750.0,2420.24,200.0,7142.95,1500.0,1000.0,1000.0
10033,52670.0,313.51,1750.0,2508.08,200.0,7582.15,1500.0,1000.0,1000.0
10010,52670.0,313.51,1750.0,2508.08,200.0,7582.15,1500.0,1000.0,1000.0
10032,52670.0,313.51,1750.0,2508.08,200.0,7582.15,1500.0,1000.0,1000.0
10013,24000.0,142.86,1150.0,1142.88,200.0,904.92,1500.0,500.0,500.0
10035,52670.0,313.51,1750.0,2508.08,200.0,7582.15,1500.0,1000.0,1000.0
10012,38475.0,229.02,1750.0,1832.1600000000003,200.0,4102.55,1500.0,800.0,800.0
10034,52670.0,313.51,1750.0,2508.08,200.0,7582.15,1500.0,1000.0,1000.0
10015,53500.0,318.45,1750.0,2547.6000000000004,200.0,7779.75,1500.0,1000.0,1000.0
10037,52670.0,313.51,1750.0,2508.08,200.0,7582.15,1500.0,1000.0,1000.0
10014,24000.0,142.86,1150.0,1142.88,200.0,904.92,1500.0,500.0,500.0
10036,52670.0,313.51,1750.0,2508.08,200.0,7582.15,1500.0,1000.0,1000.0
10017,41850.0,249.11,1750.0,1992.8800000000003,200.0,4906.15,1500.0,800.0,800.0
10016,42975.0,255.8,1750.0,2046.4,200.0,5173.75,1500.0,800.0,800.0
10038,52670.0,313.51,1750.0,2508.08,200.0,7582.15,1500.0,1000.0,1000.0
10020,23250.0,138.39,1100.0,1107.12,200.0,761.88,1500.0,500.0,500.0
10008,22500.0,133.93,1075.0,1071.4400000000003,200.0,619.16,1500.0,500.0,500.0
10007,42975.0,255.8,1750.0,2046.4,200.0,5173.75,1500.0,800.0,800.0
10029,22500.0,133.93,1075.0,1071.4400000000003,200.0,619.16,1500.0,500.0,500.0
10009,22500.0,133.93,1075.0,1071.4400000000003,200.0,619.16,1500.0,500.0,500.0
10022,24000.0,142.86,1150.0,1142.88,200.0,904.92,1500.0,500.0,500.0
10021,23250.0,138.39,1100.0,1107.12,200.0,761.88,1500.0,500.0,500.0
10002,60000.0,357.14,1750.0,2857.12,200.0,9577.35,1500.0,2000.0,1000.0
10024,22500.0,133.93,1075.0,1071.4400000000003,200.0,619.16,1500.0,500.0,500.0
10001,90000.0,535.71,1750.0,4285.68,200.0,17897.31,1500.0,2000.0,1000.0
10023,22500.0,133.93,1075.0,1071.4400000000003,200.0,619.16,1500.0,500.0,500.0
10004,60000.0,357.14,1750.0,2857.12,200.0,9577.35,1500.0,2000.0,1000.0
10026,24750.0,147.32,1175.0,1178.56,200.0,1047.64,1500.0,500.0,500.0
10003,60000.0,357.14,1750.0,2857.12,200.0,9577.35,1500.0,2000.0,1000.0
10025,24000.0,142.86,1150.0,1142.88,200.0,904.92,1500.0,500.0,500.0
10006,52670.0,313.51,1750.0,2508.08,200.0,7582.15,1500.0,1000.0,1000.0
10028,24000.0,142.86,1150.0,1142.88,200.0,904.92,1500.0,500.0,500.0
10005,52670.0,313.51,1750.0,2508.08,200.0,7582.15,1500.0,1000.0,1000.0
10027,24750.0,147.32,1175.0,1178.56,200.0,1047.64,1500.0,500.0,500.0
